"name","nmol","charge","massdiff","oidscore","quasi","ips"
"[M+H]+",1,1,1.007276,1,1,1
"[M+Na]+",1,1,22.989218,8,1,1
"[M+K]+",1,1,38.963158,10,1,1
"[M+NH4]+",1,1,18.033823,16,1,1
"[M+Na+HCOOH]+",1,1,68.994688,87,0,0.25
"[M+K+HCOOH]+",1,1,84.968628,88,0,0.25
"[M+NH4+HCOOH]+",1,1,64.039293,89,0,0.25
"[M+H+HCOOH]+",1,1,47.012746,90,0,0.25
"[M+Na+CF3COOH]+",1,1,156.982218,91,0,0.25
"[M+K+CF3COOH]+",1,1,172.956158,92,0,0.25
"[M+NH4+CF3COOH]+",1,1,152.026823,93,0,0.25
"[M+H+CF3COOH]+",1,1,135.000276,94,0,0.25